"","project","park","site","Year","Species","No","No.se","No.LCI","No.UCI","p","p.se","p.LCI","p.UCI"
"302","NCRN","MONO","BUCK","2022","Nocomis micropogon",50,21.21,8.42,91.58,0.4,0.22,-0.03,0.83
"303","NCRN","MONO","BUCK","2022","Notropis hudsonius",4,3.46,-2.79,10.79,0.5,0.61,-0.7,1.7
"304","NCRN","MONO","BUCK","2010","Notropis procne",80.08,28.92,23.4,136.77,0.39,0.18,0.04,0.74
"305","NCRN","MONO","BUCK","2010","Notropis rubellus",24.5,5.87,13,36,0.57,0.21,0.16,0.98
"306","NCRN","MONO","BUCK","2022","Notropis rubellus",20.25,10.52,-0.38,40.88,0.44,0.31,-0.16,1.05
"307","NCRN","MONO","BUCK","2010","Noturus insignis",2,0,2,2,1,0,1,1
"310","NCRN","MONO","BUCK","2010","Pimephales notatus",112.5,7.5,97.8,127.2,0.67,0.08,0.52,0.82
"311","NCRN","MONO","BUCK","2022","Pimephales notatus",74.12,1.37,71.44,76.8,0.88,0.05,0.79,0.97
"312","NCRN","MONO","BUCK","2004","Rhinichthys atratulus",116.76,5.92,105.16,128.36,0.71,0.07,0.58,0.84
"313","NCRN","MONO","BUCK","2010","Rhinichthys atratulus",432.49,39.4,355.27,509.7,0.48,0.06,0.36,0.6
"314","NCRN","MONO","BUCK","2004","Rhinichthys cataractae",104.4,8.3,88.14,120.66,0.64,0.09,0.47,0.81
"315","NCRN","MONO","BUCK","2010","Rhinichthys cataractae",315.02,46.13,224.6,405.43,0.43,0.08,0.26,0.59
"316","NCRN","MONO","BUCK","2022","Rhinichthys cataractae",76,15.1,46.41,105.59,0.5,0.14,0.22,0.78
"317","NCRN","MONO","BUCK","2004","Semotilus atromaculatus",1,0,1,1,1,0,1,1
"318","NCRN","MONO","BUCK","2010","Semotilus atromaculatus",9,13.42,-17.3,35.3,0.33,0.61,-0.86,1.53
"319","NCRN","MONO","BUCK","2010","Semotilus corporalis",21.78,3.77,14.39,29.16,0.64,0.19,0.28,1.01
"320","NCRN","MONO","BUCK","2022","Semotilus corporalis",12.25,4.15,4.12,20.38,0.57,0.3,-0.01,1.15
"323","NCRN","MONO","GAMI","2004","Campostoma anomalum",12.5,10.61,-8.29,33.29,0.4,0.44,-0.46,1.26
"324","NCRN","MONO","GAMI","2022","Catostomus commersonii",4,0,4,4,1,0,1,1
"325","NCRN","MONO","GAMI","2004","Catostomus commersonnii",119.04,9.89,99.66,138.43,0.62,0.08,0.46,0.79
"326","NCRN","MONO","GAMI","2010","Catostomus commersonnii",20.25,10.52,-0.38,40.88,0.44,0.31,-0.16,1.05
"327","NCRN","MONO","GAMI","2004","Cottus caeruleomentum",212.55,5.62,201.54,223.57,0.77,0.04,0.68,0.85
"328","NCRN","MONO","GAMI","2010","Cottus caeruleomentum",33.14,0.42,32.31,33.97,0.94,0.05,0.84,1.03
"329","NCRN","MONO","GAMI","2022","Cottus caeruleomentum",7.2,0.63,5.96,8.44,0.83,0.18,0.48,1.19
"330","NCRN","MONO","GAMI","2004","Cottus girardi",16,1.72,12.63,19.37,0.75,0.16,0.43,1.07
"331","NCRN","MONO","GAMI","2022","Cottus girardi",2,0,2,2,1,0,1,1
"332","NCRN","MONO","GAMI","2004","Etheostoma flabellare",49.06,2.23,44.7,53.43,0.79,0.08,0.64,0.95
"333","NCRN","MONO","GAMI","2010","Etheostoma flabellare",16.33,0.78,14.81,17.86,0.86,0.11,0.65,1.07
"334","NCRN","MONO","GAMI","2022","Etheostoma flabellare",35.27,4.55,26.34,44.19,0.65,0.14,0.37,0.93
"335","NCRN","MONO","GAMI","2022","Eurycea bislineata",16,6.93,2.42,29.58,0.5,0.31,-0.1,1.1
"336","NCRN","MONO","GAMI","2022","Faxonius sp.",47.12,3.09,41.06,53.17,0.74,0.1,0.55,0.93
"337","NCRN","MONO","GAMI","2022","Faxonius virilis",25,15,-4.4,54.4,0.4,0.31,-0.21,1.01
"340","NCRN","MONO","GAMI","2019","Lampetra appendix",5.33,0.99,3.39,7.28,0.75,0.28,0.2,1.3
"342","NCRN","MONO","GAMI","2004","Lepomis cyanellus",28.47,1.98,24.59,32.35,0.77,0.11,0.55,0.99
"343","NCRN","MONO","GAMI","2010","Lepomis cyanellus",2,0,2,2,1,0,1,1
"345","NCRN","MONO","GAMI","2004","Lepomis hybrid",1,0,1,1,1,0,1,1
"346","NCRN","MONO","GAMI","2004","Lepomis macrochirus",38.44,1.81,34.89,41.99,0.81,0.09,0.64,0.98
"347","NCRN","MONO","GAMI","2004","Margariscus margarita",24,8.49,7.37,40.63,0.5,0.25,0.01,0.99
"349","NCRN","MONO","GAMI","2004","Micropterus salmoides",12.5,1.08,10.38,14.62,0.8,0.15,0.5,1.1
"350","NCRN","MONO","GAMI","2004","Pimephales notatus",20.25,0.63,19.02,21.48,0.89,0.08,0.73,1.05
"351","NCRN","MONO","GAMI","2022","Pimephales notatus",1,0,1,1,1,0,1,1
"355","NCRN","MONO","GAMI","2004","Rhinichthys atratulus",544.98,6.23,532.77,557.18,0.82,0.02,0.78,0.86
"356","NCRN","MONO","GAMI","2010","Rhinichthys atratulus",308.64,4.18,300.45,316.83,0.83,0.03,0.78,0.89
"357","NCRN","MONO","GAMI","2022","Rhinichthys atratulus",171.12,32.69,107.05,235.2,0.43,0.11,0.22,0.65
"358","NCRN","MONO","GAMI","2004","Rhinichthys cataractae",70.35,2.92,64.62,76.08,0.78,0.07,0.65,0.92
"360","NCRN","MONO","GAMI","2004","Semotilus atromaculatus",7,0,7,7,1,0,1,1
"361","NCRN","MONO","GAMI","2010","Semotilus atromaculatus",4.5,1.5,1.56,7.44,0.67,0.38,-0.09,1.42
"362","NCRN","MONO","GAMI","2022","Semotilus atromaculatus",5.33,0.99,3.39,7.28,0.75,0.28,0.2,1.3
"363","NCRN","ROCR","FEBR","2008","Ameiurus natalis",76.24,17.55,41.83,110.64,0.47,0.15,0.18,0.77
"364","NCRN","ROCR","FEBR","2008","Anguilla rostrata",1,0,1,1,1,0,1,1
"365","NCRN","ROCR","FEBR","2019","Anguilla rostrata",8,4.9,-1.6,17.6,0.5,0.43,-0.35,1.35
"367","NCRN","ROCR","FEBR","2019","Catostomus commersonnii",8.17,0.55,7.09,9.24,0.86,0.15,0.56,1.16
"368","NCRN","ROCR","FEBR","2008","Cyprinella analostana",51.57,25.91,0.79,102.35,0.37,0.23,-0.09,0.82
"369","NCRN","ROCR","FEBR","2019","Cyprinella analostana",8.17,0.55,7.09,9.24,0.86,0.15,0.56,1.16
"370","NCRN","ROCR","FEBR","2019","Cyprinella spiloptera",154.79,31.02,93.99,215.59,0.43,0.12,0.21,0.66
"371","NCRN","ROCR","FEBR","2008","Etheostoma olmstedi",25,60,-92.6,142.6,0.2,0.54,-0.85,1.25
"372","NCRN","ROCR","FEBR","2008","Gambusia holbrooki",4.5,1.5,1.56,7.44,0.67,0.38,-0.09,1.42
"373","NCRN","ROCR","FEBR","2019","Gambusia holbrooki",4,3.46,-2.79,10.79,0.5,0.61,-0.7,1.7
"374","NCRN","ROCR","FEBR","2019","Lepomis auritus",25,15,-4.4,54.4,0.4,0.31,-0.21,1.01
"376","NCRN","ROCR","FEBR","2019","Lepomis gibbosus",4.5,1.5,1.56,7.44,0.67,0.38,-0.09,1.42
"379","NCRN","ROCR","FEBR","2019","Notropis procne",784,5606.65,-10204.82,11772.82,0.04,0.26,-0.47,0.55
"380","NCRN","ROCR","FEBR","2008","Pimephales notatus",9,13.42,-17.3,35.3,0.33,0.61,-0.86,1.53
"381","NCRN","ROCR","FEBR","2008","Rhinichthys atratulus",386.93,6.43,374.32,399.53,0.79,0.03,0.73,0.85
"382","NCRN","ROCR","FEBR","2008","Rhinichthys cataractae",25.94,1.45,23.09,28.79,0.81,0.1,0.61,1.01
"384","NCRN","ROCR","FEBR","2008","Semotilus atromaculatus",9,13.42,-17.3,35.3,0.33,0.61,-0.86,1.53
"385","NCRN","ROCR","FEBR","2019","Semotilus atromaculatus",4.5,1.5,1.56,7.44,0.67,0.38,-0.09,1.42
"387","NCRN","ROCR","BRBR","2008","Anguilla rostrata",2,0,2,2,1,0,1,1
"388","NCRN","ROCR","BRBR","2019","Anguilla rostrata",5,0,5,5,1,0,1,1
"389","NCRN","ROCR","BRBR","2008","Catostomus commersonnii",5,0,5,5,1,0,1,1
"390","NCRN","ROCR","BRBR","2019","Notropis procne",1,0,1,1,1,0,1,1
"392","NCRN","ROCR","BRBR","2019","Rhinichthys atratulus",120.86,6.93,107.27,134.45,0.69,0.07,0.55,0.82
"393","NCRN","ROCR","BRBR","2008","Rhinichthys cataractae",1,0,1,1,1,0,1,1
"394","NCRN","ROCR","BRBR","2019","Rhinichthys cataractae",15.12,1.93,11.34,18.91,0.73,0.18,0.38,1.08
"395","NCRN","MANA","YOBR","2004","Ameiurus natalis",5.33,0.99,3.39,7.28,0.75,0.28,0.2,1.3
"396","NCRN","MANA","YOBR","2010","Ameiurus natalis",9,13.42,-17.3,35.3,0.33,0.61,-0.86,1.53
"398","NCRN","MANA","YOBR","2022","Campostoma anomalum",12.5,10.61,-8.29,33.29,0.4,0.44,-0.46,1.26
"399","NCRN","MANA","YOBR","2022","Catostomus commersonii",8,4.9,-1.6,17.6,0.5,0.43,-0.35,1.35
"400","NCRN","MANA","YOBR","2004","Catostomus commersonnii",3,0,3,3,1,0,1,1
"401","NCRN","MANA","YOBR","2010","Catostomus commersonnii",21.12,4.31,12.68,29.57,0.62,0.2,0.22,1.01
"402","NCRN","MANA","YOBR","2004","Cyprinella analostana",1,0,1,1,1,0,1,1
"403","NCRN","MANA","YOBR","2010","Cyprinella analostana",3,0,3,3,1,0,1,1
"405","NCRN","MANA","YOBR","2010","Etheostoma flabellare",1,0,1,1,1,0,1,1
"406","NCRN","MANA","YOBR","2022","Etheostoma flabellare",5.33,0.99,3.39,7.28,0.75,0.28,0.2,1.3
"407","NCRN","MANA","YOBR","2004","Etheostoma olmstedi",8.33,2.94,2.57,14.1,0.6,0.33,-0.06,1.26
"409","NCRN","MANA","YOBR","2022","Etheostoma olmstedi",24.92,2.55,19.92,29.93,0.72,0.14,0.45,1
"412","NCRN","MANA","YOBR","2022","Faxonius sp.",16.33,10.32,-3.89,36.56,0.43,0.36,-0.27,1.13
"413","NCRN","MANA","YOBR","2022","Faxonius virilis",12,6,0.24,23.76,0.5,0.35,-0.19,1.19
"414","NCRN","MANA","YOBR","2010","Fundulus diaphanus",2,0,2,2,1,0,1,1
"416","NCRN","MANA","YOBR","2022","Gambusia holbrooki",6,0,6,6,1,0,1,1
"417","NCRN","MANA","YOBR","2022","Hybognathus regius",2,0,2,2,1,0,1,1
"418","NCRN","MANA","YOBR","2022","Hypentelium nigricans",1,0,1,1,1,0,1,1
"419","NCRN","MANA","YOBR","2004","Lepomis auritus",9.14,0.49,8.18,10.1,0.88,0.13,0.62,1.13
"421","NCRN","MANA","YOBR","2004","Lepomis cyanellus",89.47,1.58,86.37,92.57,0.87,0.04,0.79,0.96
"422","NCRN","MANA","YOBR","2010","Lepomis cyanellus",60.5,110.69,-156.44,277.44,0.18,0.37,-0.54,0.9
"423","NCRN","MANA","YOBR","2022","Lepomis cyanellus",132.25,46.99,40.14,224.36,0.35,0.15,0.05,0.65
"425","NCRN","MANA","YOBR","2004","Lepomis macrochirus",46.1,0.34,45.43,46.76,0.95,0.03,0.89,1.02
"426","NCRN","MANA","YOBR","2010","Lepomis macrochirus",4.5,1.5,1.56,7.44,0.67,0.38,-0.09,1.42
"428","NCRN","MANA","YOBR","2022","Luxilus cornutus",3,0,3,3,1,0,1,1
"429","NCRN","MANA","YOBR","2004","Micropterus dolomieu",4,0,4,4,1,0,1,1
"431","NCRN","MANA","YOBR","2010","Micropterus salmoides",9,2.12,4.84,13.16,0.67,0.27,0.13,1.2
"432","NCRN","MANA","YOBR","2022","Micropterus salmoides",36,10.39,15.63,56.37,0.5,0.2,0.1,0.9
"433","NCRN","MANA","YOBR","2010","Nocomis micropogon",5,0,5,5,1,0,1,1
"434","NCRN","MANA","YOBR","2004","Notropis hudsonius",1,0,1,1,1,0,1,1
"435","NCRN","MANA","YOBR","2022","Notropis hudsonius",66.94,4.72,57.69,76.19,0.7,0.09,0.52,0.88
"436","NCRN","MANA","YOBR","2004","Notropis procne",10,0,10,10,1,0,1,1
"437","NCRN","MANA","YOBR","2022","Noturus insignis",21.33,16.02,-10.07,52.74,0.38,0.36,-0.32,1.07
"438","NCRN","MANA","YOBR","2004","Pimephales notatus",55.84,1.18,53.53,58.15,0.88,0.05,0.77,0.98
"440","NCRN","MANA","YOBR","2022","Pimephales notatus",128,306.72,-473.17,729.17,0.12,0.32,-0.5,0.75
"441","NCRN","MANA","YOBR","2004","Rhinichthys atratulus",4,3.46,-2.79,10.79,0.5,0.61,-0.7,1.7
"442","NCRN","MANA","YOBR","2010","Rhinichthys atratulus",1,0,1,1,1,0,1,1
"443","NCRN","MANA","YOBR","2004","Rhinichthys cataractae",19.69,1.24,17.27,22.12,0.81,0.12,0.58,1.04
"446","NCRN","MANA","YOBR","2004","Semotilus atromaculatus",8.33,2.94,2.57,14.1,0.6,0.33,-0.06,1.26
"448","NCRN","MANA","YOBR","2022","Semotilus atromaculatus",3,0,3,3,1,0,1,1
"449","NCRN","MANA","YOBR","2004","Semotilus corporalis",29.39,1.88,25.71,33.07,0.78,0.11,0.57,0.99
"450","NCRN","MANA","YOBR","2010","Semotilus corporalis",6,0,6,6,1,0,1,1
"451","NCRN","MANA","YOBR","2022","Semotilus corporalis",86.4,25.37,36.68,136.12,0.42,0.16,0.1,0.73
"452","NCRN","MANA","YOBR","2022","Unknown cyprinid",1,0,1,1,1,0,1,1
"453","NCRN","MANA","CHBR","2004","Catostomus commersonnii",2,0,2,2,1,0,1,1
"454","NCRN","MANA","CHBR","2004","Etheostoma flabellare",8.17,0.55,7.09,9.24,0.86,0.15,0.56,1.16
"455","NCRN","MANA","CHBR","2004","Rhinichthys atratulus",93.73,1.74,90.31,97.15,0.86,0.04,0.78,0.95
"456","NCRN","MANA","CHBR","2004","Semotilus atromaculatus",11,0,11,11,1,0,1,1
"457","NCRN","MONO","HARU","2004","Ameiurus natalis",2,0,2,2,1,0,1,1
"459","NCRN","MONO","HARU","2004","Etheostoma flabellare",2,0,2,2,1,0,1,1
"460","NCRN","MONO","HARU","2004","Lepomis auritus",1,0,1,1,1,0,1,1
"461","NCRN","MONO","HARU","2004","Lepomis cyanellus",21.6,1.1,19.44,23.76,0.83,0.1,0.63,1.04
"462","NCRN","MONO","HARU","2004","Margariscus margarita",1,0,1,1,1,0,1,1
"463","NCRN","MONO","HARU","2004","Pimephales notatus",12.25,4.15,4.12,20.38,0.57,0.3,-0.01,1.15
"464","NCRN","MONO","HARU","2004","Rhinichthys atratulus",403.32,2.92,397.59,409.05,0.89,0.02,0.85,0.92
"465","NCRN","MONO","HARU","2004","Rhinichthys cataractae",9.14,0.49,8.18,10.1,0.88,0.13,0.62,1.13
"466","NCRN","PRWI","NOBR","2006","Catostomus commersonnii",20.17,6.11,8.19,32.14,0.55,0.25,0.06,1.03
"467","NCRN","PRWI","NOBR","2011","Catostomus commersonnii",264.5,800.96,-1305.36,1834.36,0.09,0.28,-0.45,0.63
"468","NCRN","PRWI","NOBR","2006","Clinostomus funduloides",4,3.46,-2.79,10.79,0.5,0.61,-0.7,1.7
"469","NCRN","PRWI","NOBR","2011","Clinostomus funduloides",20.45,2.16,16.22,24.69,0.73,0.15,0.44,1.03
"470","NCRN","PRWI","NOBR","2011","Erimyzon oblongus",44,11.49,21.48,66.52,0.5,0.18,0.14,0.86
"471","NCRN","PRWI","NOBR","2004","Esox niger",1,0,1,1,1,0,1,1
"472","NCRN","PRWI","NOBR","2004","Etheostoma olmstedi",37.23,6.52,24.45,50.02,0.59,0.16,0.27,0.91
"473","NCRN","PRWI","NOBR","2006","Etheostoma olmstedi",27,3.67,19.8,34.2,0.67,0.16,0.36,0.97
"475","NCRN","PRWI","NOBR","2004","Exoglossum maxillingua",1,0,1,1,1,0,1,1
"476","NCRN","PRWI","NOBR","2006","Exoglossum maxillingua",5.33,0.99,3.39,7.28,0.75,0.28,0.2,1.3
"477","NCRN","PRWI","NOBR","2011","Exoglossum maxillingua",4.5,1.5,1.56,7.44,0.67,0.38,-0.09,1.42
"478","NCRN","PRWI","NOBR","2004","Lepomis auritus",12,6,0.24,23.76,0.5,0.35,-0.19,1.19
"479","NCRN","PRWI","NOBR","2006","Lepomis auritus",37.55,0.95,35.68,39.42,0.88,0.06,0.75,1
"480","NCRN","PRWI","NOBR","2011","Lepomis auritus",33.33,32.07,-29.52,96.19,0.3,0.34,-0.38,0.98
"481","NCRN","PRWI","NOBR","2004","Lepomis macrochirus",1,0,1,1,1,0,1,1
"482","NCRN","PRWI","NOBR","2006","Luxilus cornutus",49,151.43,-247.8,345.8,0.14,0.48,-0.79,1.08
"483","NCRN","PRWI","NOBR","2011","Luxilus cornutus",83.31,7.16,69.29,97.34,0.65,0.09,0.46,0.83
"484","NCRN","PRWI","NOBR","2011","Notropis procne",4.5,1.5,1.56,7.44,0.67,0.38,-0.09,1.42
"485","NCRN","PRWI","NOBR","2004","Noturus insignis",32,44.9,-56,120,0.25,0.41,-0.54,1.04
"486","NCRN","PRWI","NOBR","2006","Noturus insignis",14.4,0.9,12.64,16.16,0.83,0.13,0.58,1.08
"487","NCRN","PRWI","NOBR","2011","Noturus insignis",16.2,5.19,6.02,26.38,0.56,0.27,0.03,1.08
"488","NCRN","PRWI","NOBR","2004","Rhinichthys atratulus",6.25,0.77,4.75,7.75,0.8,0.22,0.37,1.23
"489","NCRN","PRWI","NOBR","2006","Rhinichthys atratulus",40.91,3.06,34.92,46.9,0.73,0.11,0.53,0.94
"490","NCRN","PRWI","NOBR","2011","Rhinichthys atratulus",41.26,4.25,32.94,49.59,0.68,0.12,0.44,0.92
"491","NCRN","PRWI","NOBR","2006","Semotilus atromaculatus",1,0,1,1,1,0,1,1
"492","NCRN","PRWI","NOBR","2006","Semotilus corporalis",4.5,1.5,1.56,7.44,0.67,0.38,-0.09,1.42
"493","NCRN","PRWI","NOBR","2011","Semotilus corporalis",36.57,14.69,7.77,65.37,0.44,0.23,-0.02,0.9
"495","NCRN","ROCR","PHBR","2019","Anguilla rostrata",3,0,3,3,1,0,1,1
"496","NCRN","ROCR","PHBR","2008","Catostomus commersonnii",2,0,2,2,1,0,1,1
"497","NCRN","ROCR","PHBR","2019","Catostomus commersonnii",9.14,0.49,8.18,10.1,0.88,0.13,0.62,1.13
"498","NCRN","ROCR","PHBR","2019","Cyprinella spiloptera",24.5,30.31,-34.91,83.91,0.29,0.42,-0.53,1.11
"499","NCRN","ROCR","PHBR","2008","Rhinichthys atratulus",153.19,3.36,146.6,159.78,0.82,0.04,0.73,0.9
"500","NCRN","ROCR","PHBR","2019","Rhinichthys atratulus",111.18,11.66,88.34,134.03,0.58,0.1,0.4,0.77
"501","NCRN","ROCR","PHBR","2019","Rhinichthys cataractae",20.25,10.52,-0.38,40.88,0.44,0.31,-0.16,1.05
"502","NCRN","ROCR","PHBR","2008","Semotilus atromaculatus",9.8,1.68,6.51,13.09,0.71,0.23,0.27,1.16
"504","NCRN","ROCR","PYBR","2009","Ameiurus natalis",13.5,2.6,8.41,18.59,0.67,0.22,0.23,1.1
"505","NCRN","ROCR","PYBR","2009","Anguilla rostrata",67.24,7.92,51.71,82.77,0.61,0.12,0.38,0.84
"506","NCRN","ROCR","PYBR","2019","Anguilla rostrata",107.6,4.93,97.94,117.27,0.73,0.07,0.61,0.86
"507","NCRN","ROCR","PYBR","2009","Catostomus commersonnii",20.17,6.11,8.19,32.14,0.55,0.25,0.06,1.03
"508","NCRN","ROCR","PYBR","2019","Catostomus commersonnii",2,0,2,2,1,0,1,1
"509","NCRN","ROCR","PYBR","2009","Cyprinella analostana",104.17,5.29,93.79,114.54,0.72,0.07,0.58,0.86
"510","NCRN","ROCR","PYBR","2009","Exoglossum maxillingua",2,0,2,2,1,0,1,1
"511","NCRN","ROCR","PYBR","2009","Gambusia holbrooki",4,0,4,4,1,0,1,1
"512","NCRN","ROCR","PYBR","2009","Lepomis auritus",3,0,3,3,1,0,1,1
"513","NCRN","ROCR","PYBR","2019","Lepomis auritus",1,0,1,1,1,0,1,1
"514","NCRN","ROCR","PYBR","2009","Lepomis cyanellus",7.2,0.63,5.96,8.44,0.83,0.18,0.48,1.19
"515","NCRN","ROCR","PYBR","2009","Micropterus salmoides",1,0,1,1,1,0,1,1
"516","NCRN","ROCR","PYBR","2009","Notropis procne",44.1,13.07,18.49,69.71,0.48,0.19,0.09,0.86
"517","NCRN","ROCR","PYBR","2019","Notropis procne",1,0,1,1,1,0,1,1
"518","NCRN","ROCR","PYBR","2009","Pimephales notatus",134.7,0.97,132.8,136.6,0.93,0.02,0.88,0.98
"519","NCRN","ROCR","PYBR","2009","Rhinichthys atratulus",183.76,4.32,175.29,192.22,0.79,0.04,0.71,0.88
"520","NCRN","ROCR","PYBR","2019","Rhinichthys atratulus",69.43,2.98,63.58,75.28,0.78,0.07,0.64,0.92
"521","NCRN","ROCR","PYBR","2009","Rhinichthys cataractae",9,13.42,-17.3,35.3,0.33,0.61,-0.86,1.53
"522","NCRN","ROCR","PYBR","2019","Semotilus atromaculatus",4,3.46,-2.79,10.79,0.5,0.61,-0.7,1.7
"523","NCRN","ROCR","R630","2008","Anguilla rostrata",24.92,2.55,19.92,29.93,0.72,0.14,0.45,1
"524","NCRN","ROCR","R630","2019","Anguilla rostrata",86.22,3.9,78.58,93.87,0.75,0.07,0.62,0.89
"525","NCRN","ROCR","R630","2008","Campostoma anomalum",1,0,1,1,1,0,1,1
"527","NCRN","ROCR","R630","2019","Etheostoma olmstedi",1,0,1,1,1,0,1,1
"528","NCRN","ROCR","R630","2008","Rhinichthys atratulus",205.31,8.3,189.04,221.58,0.7,0.05,0.6,0.8
"529","NCRN","ROCR","R630","2019","Rhinichthys atratulus",104.65,2.27,100.2,109.1,0.84,0.05,0.75,0.93
"530","NCRN","ROCR","R630","2008","Rhinichthys cataractae",2,0,2,2,1,0,1,1
"531","NCRN","ROCR","R630","2019","Rhinichthys cataractae",21.78,3.77,14.39,29.16,0.64,0.19,0.28,1.01
"532","NCRN","ROCR","R630","2008","Semotilus atromaculatus",3,0,3,3,1,0,1,1
"533","NCRN","ROCR","R630","2019","Semotilus atromaculatus",2,0,2,2,1,0,1,1
"534","NCRN","ROCR","LUBR","2019","Anguilla rostrata",6,0,6,6,1,0,1,1
"535","NCRN","ROCR","LUBR","2019","Catostomus commersonnii",3,0,3,3,1,0,1,1
"536","NCRN","ROCR","LUBR","2008","Rhinichthys atratulus",58.8,4.12,50.73,66.87,0.71,0.09,0.53,0.9
"537","NCRN","ROCR","LUBR","2019","Rhinichthys atratulus",9.8,1.68,6.51,13.09,0.71,0.23,0.27,1.16
"538","NCRN","ROCR","LUBR","2008","Rhinichthys cataractae",12.8,3.18,6.56,19.04,0.62,0.25,0.13,1.12
"539","NCRN","ROCR","LUBR","2019","Rhinichthys cataractae",13.5,2.6,8.41,18.59,0.67,0.22,0.23,1.1
"540","NCRN","ROCR","LUBR","2019","Semotilus atromaculatus",13.44,0.98,11.53,15.36,0.82,0.14,0.54,1.09
"542","NCRN","WOTR","WOTR","2006","Ameiurus natalis",1,0,1,1,1,0,1,1
"544","NCRN","WOTR","WOTR","2004","Anguilla rostrata",4,0,4,4,1,0,1,1
"545","NCRN","WOTR","WOTR","2006","Anguilla rostrata",5.33,0.99,3.39,7.28,0.75,0.28,0.2,1.3
"546","NCRN","WOTR","WOTR","2012","Anguilla rostrata",3,0,3,3,1,0,1,1
"547","NCRN","WOTR","WOTR","2006","Campostoma anomalum",162.72,3.11,156.63,168.82,0.83,0.04,0.75,0.9
"548","NCRN","WOTR","WOTR","2012","Campostoma anomalum",136.03,21.02,94.83,177.23,0.49,0.11,0.28,0.7
"549","NCRN","WOTR","WOTR","2022","Campostoma anomalum",180.5,484.5,-769.1,1130.1,0.11,0.3,-0.48,0.69
"550","NCRN","WOTR","WOTR","2022","Catostomus commersonii",23.21,0.56,22.12,24.3,0.9,0.07,0.77,1.04
"551","NCRN","WOTR","WOTR","2004","Catostomus commersonnii",36.1,9.05,18.37,53.83,0.53,0.19,0.15,0.9
"552","NCRN","WOTR","WOTR","2006","Catostomus commersonnii",48.89,2.88,43.25,54.54,0.76,0.09,0.58,0.93
"553","NCRN","WOTR","WOTR","2012","Catostomus commersonnii",33.06,3.44,26.31,39.81,0.7,0.13,0.44,0.95
"555","NCRN","WOTR","WOTR","2006","Clinostomus funduloides",35.64,2.02,31.67,39.6,0.79,0.1,0.6,0.97
"556","NCRN","WOTR","WOTR","2012","Clinostomus funduloides",56.94,2.8,51.46,62.42,0.77,0.08,0.62,0.93
"560","NCRN","WOTR","WOTR","2006","Cyprinella spiloptera",33.33,5.88,21.81,44.86,0.6,0.17,0.27,0.93
"561","NCRN","WOTR","WOTR","2012","Cyprinella spiloptera",28.47,1.98,24.59,32.35,0.77,0.11,0.55,0.99
"563","NCRN","WOTR","WOTR","2006","Etheostoma olmstedi",37.79,5.97,26.08,49.5,0.61,0.15,0.31,0.91
"564","NCRN","WOTR","WOTR","2012","Etheostoma olmstedi",44.52,3.49,37.69,51.35,0.72,0.11,0.51,0.93
"565","NCRN","WOTR","WOTR","2022","Etheostoma olmstedi",28.17,11.3,6.01,50.32,0.46,0.25,-0.03,0.96
"567","NCRN","WOTR","WOTR","2012","Exoglossum maxillingua",3,0,3,3,1,0,1,1
"568","NCRN","WOTR","WOTR","2006","Lepomis auritus",3,0,3,3,1,0,1,1
"569","NCRN","WOTR","WOTR","2012","Lepomis auritus",12.5,10.61,-8.29,33.29,0.4,0.44,-0.46,1.26
"570","NCRN","WOTR","WOTR","2022","Lepomis auritus",6,0,6,6,1,0,1,1
"571","NCRN","WOTR","WOTR","2004","Lepomis cyanellus",1,0,1,1,1,0,1,1
"572","NCRN","WOTR","WOTR","2006","Lepomis cyanellus",5.33,0.99,3.39,7.28,0.75,0.28,0.2,1.3
"573","NCRN","WOTR","WOTR","2012","Lepomis cyanellus",4,3.46,-2.79,10.79,0.5,0.61,-0.7,1.7
"574","NCRN","WOTR","WOTR","2022","Lepomis cyanellus",17.82,1.43,15.01,20.62,0.79,0.14,0.52,1.05
"575","NCRN","WOTR","WOTR","2004","Lepomis gibbosus",27,23.24,-18.55,72.55,0.33,0.35,-0.36,1.02
"579","NCRN","WOTR","WOTR","2004","Lepomis macrochirus",4.5,1.5,1.56,7.44,0.67,0.38,-0.09,1.42
"580","NCRN","WOTR","WOTR","2006","Lepomis macrochirus",4.5,1.5,1.56,7.44,0.67,0.38,-0.09,1.42
"581","NCRN","WOTR","WOTR","2012","Lepomis macrochirus",1,0,1,1,1,0,1,1
"583","NCRN","WOTR","WOTR","2006","Luxilus cornutus",1,0,1,1,1,0,1,1
"584","NCRN","WOTR","WOTR","2012","Luxilus cornutus",49,17.87,13.97,84.03,0.43,0.21,0.02,0.83
"585","NCRN","WOTR","WOTR","2022","Luxilus cornutus",28.47,1.98,24.59,32.35,0.77,0.11,0.55,0.99
"586","NCRN","WOTR","WOTR","2004","Micropterus salmoides",2,0,2,2,1,0,1,1
"588","NCRN","WOTR","WOTR","2004","Notropis procne",9,2.12,4.84,13.16,0.67,0.27,0.13,1.2
"589","NCRN","WOTR","WOTR","2006","Notropis procne",36,99.5,-159.01,231.01,0.17,0.5,-0.82,1.16
"590","NCRN","WOTR","WOTR","2012","Notropis procne",72.2,61.12,-47.6,192,0.26,0.26,-0.25,0.77
"592","NCRN","WOTR","WOTR","2012","Noturus insignis",4,3.46,-2.79,10.79,0.5,0.61,-0.7,1.7
